headword,CEFR,example_en,translation_ar,example_ar
protection,B1,They discussed the topic of protection.,حماية,وناقشوا موضوع الحماية.
settle,B1,They plan to settle their differences peacefully.,يستقر,ويخططون لتسوية خلافاتهم سلميا.
highly,B1,He is highly respected by his colleagues.,للغاية,يحظى باحترام كبير من قبل زملائه.
identity,B1,She struggled to find her own identity.,هوية,كافحت للعثور على هويتها الخاصة.
promote,B1,They discussed the topic of promote.,يروج,ناقشوا موضوع الترويج.
count,B1,You need to count the votes after the election.,عدد,تحتاج إلى عد الأصوات بعد الانتخابات.
unless,B1,I won’t go unless you come too.,إلا إذا,لن أذهب إلا إذا أتيت أنت أيضًا.
technique,B1,She learned a new painting technique.,تقنية,لقد تعلمت تقنية جديدة للرسم.
folk,B1,They enjoy traditional folk music.,قوم,إنهم يستمتعون بالموسيقى الشعبية التقليدية.
lift,B1,They helped her lift the heavy box.,يرفع,لقد ساعدوها في رفع الصندوق الثقيل.
border,B1,The river marks the border between the two countries.,حدود,يمثل النهر الحدود بين البلدين.
limit,B1,They reached the speed limit on the highway.,حد,لقد وصلوا إلى الحد الأقصى للسرعة على الطريق السريع.
equipment,B1,The gym has modern exercise equipment.,معدات,تحتوي الصالة الرياضية على معدات تمرين حديثة.
worth,B1,The painting is worth a lot of money.,يستحق,اللوحة تستحق الكثير من المال.
associate,B1,I associate that song with my childhood summers.,شريك,أربط تلك الأغنية بفصول الصيف في طفولتي.
critic,B1,The critic wrote a harsh review of the play.,الناقد,كتب الناقد مراجعة قاسية للمسرحية.
insist,B1,He will insist on paying for dinner.,يصر,سوف يصر على دفع ثمن العشاء.
failure,B1,Despite the failure of the plan, they remained optimistic.,فشل,وعلى الرغم من فشل الخطة، إلا أنهم ظلوا متفائلين.
annual,B1,The annual festival takes place in July.,سنوي,يقام المهرجان السنوي في شهر يوليو.
comment,B1,Please leave a comment below if you have any questions.,تعليق,يرجى ترك التعليق أدناه إذا كان لديك أي أسئلة.
responsible,B1,She is responsible for the project's success.,مسؤول,وهي المسؤولة عن نجاح المشروع.
ignore,B1,Don’t ignore the warning signs.,يتجاهل,لا تتجاهل العلامات التحذيرية.
belief,B1,Her belief in justice never wavered.,الاعتقاد,لم يتزعزع إيمانها بالعدالة أبدًا.
demonstrate,B1,They will demonstrate the new software tomorrow.,يوضح,وسوف يعرضون البرنامج الجديد غدًا.
religion,B1,Religion plays an important role in society.,دِين,يلعب الدين دورًا مهمًا في المجتمع.
engage,B1,The speaker will engage the audience with questions.,يخطب,سيقوم المتحدث بإشراك الجمهور بالأسئلة.
document,B1,Please sign the document and return it by Friday.,وثيقة,يرجى التوقيع على الوثيقة وإعادتها بحلول يوم الجمعة.
commit,B1,He decided to commit to the new training program.,يقترف,قرر الالتزام بالبرنامج التدريبي الجديد.
broad,B1,They walked along the broad avenue.,واسع,ساروا على طول الطريق الواسع.
deny,B1,He will deny all accusations against him.,ينكر,وسوف ينفي كل الاتهامات الموجهة إليه.
slightly,B1,She smiled slightly.,طفيف,ابتسمت قليلا.
construction,B1,Construction on the highway will begin next month.,بناء,ومن المقرر أن يبدأ البناء على الطريق السريع الشهر المقبل.
location,B1,The wedding will take place at a beautiful location by the lake.,موقع,سيتم حفل الزفاف في مكان جميل على ضفاف البحيرة.
aware,B1,She was not aware of the meeting time.,واعي,ولم تكن على علم بموعد اللقاء.
function,B1,The function of the heart is to pump blood.,وظيفة,وظيفة القلب هي ضخ الدم.
active,B1,He leads an active lifestyle and exercises daily.,نشيط,يقود أسلوب حياة نشط ويمارس التمارين الرياضية يوميًا.
chief,B1,The chief engineer managed the project.,رئيس,قام كبير المهندسين بإدارة المشروع.
combine,B1,You can combine these ingredients for a marinade.,يجمع,يمكنك الجمع بين هذه المكونات للحصول على ماء مالح.
category,B1,This book falls into the science fiction category.,فئة,يقع هذا الكتاب ضمن فئة الخيال العلمي.
relatively,B1,The test was relatively easy.,نسبياً,وكان الاختبار سهلا نسبيا.
victory,B1,The team celebrated their victory.,انتصار,واحتفل الفريق بانتصاره.
academic,B1,She received an academic scholarship for her studies.,أكاديمي,حصلت على منحة أكاديمية لدراستها.
historical,B1,She studies historical documents from the 18th century.,تاريخي,تدرس الوثائق التاريخية من القرن الثامن عشر.
finding,B1,The scientist published her findings in a journal.,نتائج / العثور على,ونشرت العالمة النتائج التي توصلت إليها في إحدى المجلات.
justice,B1,They fought for justice for the wrongly accused.,عدالة,لقد ناضلوا من أجل العدالة للمتهمين خطأً.
participate,B1,Do you want to participate in the competition?,يشارك,هل تريد المشاركة في المسابقة؟
hire,B1,They will hire a new manager next month.,يؤجر,سوف يقومون بتعيين مدير جديد الشهر المقبل.
supply,B1,They need to supply more water to the village.,إمداد,إنهم بحاجة إلى توفير المزيد من المياه للقرية.
democracy,B1,Democracy allows citizens to vote for their leaders.,ديمقراطية,تسمح الديمقراطية للمواطنين بالتصويت لقادتهم.
eastern,B1,Eastern cultures often emphasize community values.,شرقية,غالبًا ما تؤكد الثقافات الشرقية على قيم المجتمع.
device,B1,She uses a new device to monitor her heart rate.,جهاز,إنها تستخدم جهازًا جديدًا لمراقبة معدل ضربات قلبها.
progress,B1,They discussed the topic of progress.,تقدم,وناقشوا موضوع التقدم.
studio,B1,She paints in her art studio every weekend.,studio,إنها ترسم في الاستوديو الفني الخاص بها في نهاية كل أسبوع.
application,B1,He completed the application form online.,طلب,أكمل نموذج الطلب عبر الإنترنت.
damage,B1,The storm caused extensive damage to the roof.,ضرر,وألحقت العاصفة أضرارا جسيمة بالسقف.
hate,B1,I hate waking up early on Mondays.,يكره,أنا أكره الاستيقاظ مبكرا يوم الاثنين.
otherwise,B1,We must hurry; otherwise, we’ll miss the train.,خلاف ذلك,يجب أن نسرع؛ وإلا فإننا سوف يفوتنا القطار.
intend,B1,I intend to finish the report by Friday.,ينوي,وأعتزم الانتهاء من التقرير بحلول يوم الجمعة.
army,B1,The army marched through the town.,جيش,وسار الجيش عبر المدينة.
shut,B1,Please shut the door behind you.,اغلاق,من فضلك أغلق الباب خلفك.
session,B1,The training session lasted two hours.,حصة,واستغرقت الجلسة التدريبية ساعتين.
literature,B1,He studied English literature at university.,الأدب,درس الأدب الإنجليزي في الجامعة.
desire,B1,He has a strong desire to learn new languages.,يرغب,لديه رغبة قوية في تعلم لغات جديدة.
injury,B1,He recovered quickly from his knee injury.,إصابة,تعافى بسرعة من إصابته في الركبة.
respect,B1,You should always respect your elders.,احترام,يجب عليك دائمًا احترام كبار السن.
northern,B1,They visited the northern coast last summer.,شمالي,لقد زاروا الساحل الشمالي في الصيف الماضي.
fuel,B1,The car ran out of fuel on the highway.,وقود,نفد وقود السيارة على الطريق السريع.
instruction,B1,Read the instruction manual before use.,تعليمات,اقرأ دليل التعليمات قبل الاستخدام.
engine,B1,The car engine made a loud noise.,محرك,أصدر محرك السيارة ضجيجا عاليا.
expand,B1,They plan to expand the business overseas.,يوسع,إنهم يخططون لتوسيع الأعمال التجارية في الخارج.
mental,B1,He suffered mental fatigue after the exams.,عقلي,كان يعاني من التعب النفسي بعد الامتحانات.
increasingly,B1,People are becoming increasingly aware of environmental issues.,على نحو متزايد,أصبح الناس أكثر وعيا بالقضايا البيئية.
obtain,B1,You need a permit to obtain a fishing license.,يحصل على,تحتاج إلى تصريح للحصول على رخصة صيد.
enemy,B1,The soldier fought bravely against the enemy.,العدو,قاتل الجندي بشجاعة ضد العدو.
complex,B1,The instructions were too complex for beginners.,معقد,كانت التعليمات معقدة للغاية بالنسبة للمبتدئين.
surround,B1,The castle is surrounded by a deep moat.,تحيط,القلعة محاطة بخندق عميق.
soul,B1,Music feeds the soul.,روح,الموسيقى تغذي الروح.
emotional,B1,The movie was very emotional.,عاطفي,كان الفيلم عاطفيًا جدًا.
proposal,B1,They discussed the topic of proposal.,عرض,وناقشوا موضوع الاقتراح.
breath,B1,He took a deep breath before diving into the water.,يتنفس,أخذ نفسا عميقا قبل أن يغوص في الماء.
balance,B1,Please check your account balance online.,توازن,يرجى التحقق من رصيد حسابك عبر الإنترنت.
adopt,B1,They decided to adopt a child.,يتبنى,قرروا تبني طفل.
minority,B1,They were in the minority on that board vote.,أقلية,لقد كانوا أقلية في تصويت هذا المجلس.
connect,B1,They connect the printer to the computer via USB.,يتصل,يقومون بتوصيل الطابعة بالكمبيوتر عبر USB.
teaching,B1,She loves teaching children.,تدريس,تحب تعليم الأطفال.
aid,B1,They received international aid.,يساعد,لقد حصلوا على مساعدات دولية.
regional,B1,They attended a regional conference.,إقليمي,حضروا مؤتمرا إقليميا.
trail,B1,They followed the trail through the forest.,أثر,لقد اتبعوا الطريق عبر الغابة.
somehow,B1,Somehow, they managed to finish on time.,بطريقة أو بأخرى,بطريقة ما، تمكنوا من الانتهاء في الوقت المحدد.
breast,B1,She donated to a breast cancer charity.,صدر,تبرعت لجمعية خيرية لسرطان الثدي.
union,B1,They formed a workers’ union.,الاتحاد,وشكلوا نقابة عمالية.
conclusion,B1,In conclusion, the experiment was a success.,خاتمة,وفي الختام، كانت التجربة ناجحة.
struggle,B1,They struggle to make ends meet each month.,كفاح,إنهم يكافحون من أجل تغطية نفقاتهم كل شهر.
conclude,B1,They will conclude the meeting at 5 PM.,اختتم,وسيختتمون الاجتماع في الساعة الخامسة مساءً.
regulation,B1,They must comply with safety regulations.,أنظمة,ويجب عليهم الالتزام بقواعد السلامة.
largely,B1,The success of the event was largely due to volunteers.,إلى حد كبير,يعود نجاح الحدث إلى حد كبير إلى المتطوعين.
locate,B1,They used GPS to locate the hidden treasure.,تحديد موقع,استخدموا نظام تحديد المواقع لتحديد موقع الكنز المخفي.
county,B1,She works for the county government.,مقاطعة,تعمل لدى حكومة المقاطعة.
package,B1,He sent the package by express mail.,طَرد,أرسل الحزمة عن طريق البريد السريع.
recommend,B1,I recommend trying the fish tacos.,يوصي,أوصي بتجربة سندويشات التاكو السمكية.
obvious,B1,It was obvious that she was upset.,بديهي,وكان من الواضح أنها كانت مستاءة.
generate,B1,The wind turbines generate clean energy.,يولد,توربينات الرياح تولد طاقة نظيفة.
propose,B1,They discussed the topic of propose.,اقتراح,وناقشوا موضوع الاقتراح.
trend,B1,The trend in fashion changes rapidly.,اتجاه,يتغير الاتجاه في الموضة بسرعة.
currently,B1,He is currently studying for his final exams.,حالياً,وهو يدرس حاليا لامتحاناته النهائية.
hearing,B1,The hearing will take place in the main courtroom.,السمع,وستعقد الجلسة في قاعة المحكمة الرئيسية.
muscle,B1,He injured a muscle during the game.,عضلة,أصيب في العضلة أثناء المباراة.
notion,B1,He had a notion to start his own business.,فكرة,كانت لديه فكرة لبدء مشروعه الخاص.
capture,B1,Police managed to capture the escaped prisoner.,يأسر,وتمكنت الشرطة من القبض على السجين الهارب.
unique,B1,Her perspective is unique.,فريد,وجهة نظرها فريدة من نوعها.
internal,B1,She felt internal pressure to succeed.,داخلي,شعرت بالضغط الداخلي لتحقيق النجاح.
link,B1,Can you send me the link to that article?,وصلة,هل يمكنك أن ترسل لي رابط تلك المقالة؟
stress,B1,He felt stress before his final exam.,ضغط,شعر بالتوتر قبل امتحانه النهائي.
select,B1,Please select your preferred language.,يختار,الرجاء تحديد لغتك المفضلة.
declare,B1,They will declare their support tomorrow.,يعلن,وسيعلنون دعمهم غدا.
setting,B1,The novel’s setting is a small coastal town.,إعداد / جلسة ,تدور أحداث الرواية حول مدينة ساحلية صغيرة.
launch,B1,They will launch the new product next week.,يطلق,وسيطلقون المنتج الجديد الأسبوع المقبل.
ad,B1,I saw an ad for the new cafe.,إعلان,رأيت إعلانًا للمقهى الجديد.
defend,B1,The lawyer will defend the client in court.,يدافع,سيقوم المحامي بالدفاع عن العميل في المحكمة.
duty,B1,It is your duty to report any suspicious activity.,واجب,من واجبك الإبلاغ عن أي نشاط مشبوه.
sheet,B1,She changed the bed sheets every week.,ملاءة,لقد غيرت ملاءات السرير كل أسبوع.
ensure,B1,Please ensure the door is locked before you leave.,يضمن,يرجى التأكد من إغلاق الباب قبل المغادرة.
warn,B1,The sign will warn drivers of the sharp bend.,تحذير,سوف تحذر اللافتة السائقين من الانحناء الحاد.
contribution,B1,Her contribution was essential to the team's success.,مساهمة,كانت مساهمتها ضرورية لنجاح الفريق.
capacity,B1,The stadium has a seating capacity of 50,000.,سعة,الملعب يتسع لـ 50 ألف متفرج.
guide,B1,He will guide the tourists through the museum.,مرشد,وسوف يرشد السياح من خلال المتحف.
politician,B1,The politician gave a speech on healthcare reform.,سياسي,ألقى السياسي كلمة حول إصلاح الرعاية الصحية.
slip,B1,Be careful not to slip on the ice.,ينزلق,يجب الحرص على عدم الانزلاق على الجليد.
surgery,B1,He recovered quickly after the surgery.,جراحة,وقد تعافى بسرعة بعد الجراحة.
blame,B1,Don't blame him for something he didn't do.,لوم,ولا تلومه على شيء لم يفعله.
combination,B1,The combination of spices is perfect.,مزيج,مزيج التوابل مثالي.
frequently,B1,She frequently travels for work.,مرارًا,كثيرا ما تسافر للعمل.
equal,B1,All citizens are equal under the law.,متساوي,جميع المواطنين متساوون أمام القانون.
forth,B1,They set forth on their journey at dawn.,ينطلق,انطلقوا في رحلتهم عند الفجر.
typical,B1,That reaction is typical for his age.,عادي,رد الفعل هذا نموذجي بالنسبة لعمره.
conservative,B1,She holds conservative views on economic policy.,محافظ,لديها وجهات نظر محافظة بشأن السياسة الاقتصادية.
eliminate,B1,They will eliminate unnecessary steps in the process.,اِسْتَبْعَد,سوف يقومون بإزالة الخطوات غير الضرورية في هذه العملية.
ocean,B1,They sailed across the ocean in a small boat.,محيط,أبحروا عبر المحيط في قارب صغير.
producer,B1,They discussed the topic of producer.,منتج,ناقشوا موضوع المنتج.
afford,B1,I can't afford to buy a new car.,يستطيع تحمل كلفة,لا أستطيع شراء سيارة جديدة.
meanwhile,B1,Meanwhile, I will prepare the dinner.,في أثناء,وفي هذه الأثناء سأقوم بتحضير العشاء.
confirm,B1,Please confirm your reservation by email.,يتأكد,يرجى تأكيد الحجز الخاص بك عن طريق البريد الإلكتروني.
appeal,B1,The charity made an appeal for donations.,نداء,وجهت الجمعية الخيرية نداء للتبرعات.
length,B1,They measured the length of the room.,طول,قاموا بقياس طول الغرفة.
entirely,B1,She was entirely responsible for the decision.,تماما,وكانت مسؤولة بالكامل عن القرار.
rely,B1,You can rely on me for support.,يعتمد,يمكنك الاعتماد علي للحصول على الدعم.
attract,B1,The museum attracts thousands of visitors each year.,جذب,يجذب المتحف آلاف الزوار كل عام.
confidence,B1,She speaks with confidence in front of large audiences.,ثقة,تتحدث بثقة أمام جماهير كبيرة.
debt,B1,He worked hard to pay off his debt.,دَين,لقد عمل بجد لسداد ديونه.
rare,B1,Such birds are rare in this region.,نادر,ومثل هذه الطيور نادرة في هذه المنطقة.
tank,B1,They filled the tank with water.,صهريج,لقد ملأوا الخزان بالماء.
opposition,B1,They faced strong opposition to their plan.,معارضة,لقد واجهوا معارضة قوية لخطتهم.
bond,B1,They formed a strong bond during their time in college.,رابطة,لقد شكلوا رابطة قوية خلال فترة وجودهم في الكلية.
era,B1,We live in the digital era.,عصر,نحن نعيش في العصر الرقمي.
requirement,B1,One requirement for the job is a university degree.,متطلبات,أحد متطلبات الوظيفة هو الحصول على شهادة جامعية.
wing,B1,The bird spread its wings.,الجناح,نشر الطائر جناحيه.
stir,B1,Stir the soup gently to mix the ingredients.,اثارة,حرك الحساء بلطف لخلط المكونات.
tear,B1,She felt a tear roll down her cheek.,دمعة,شعرت بدمعة تتدحرج على خدها.
grant,B1,They will grant you permission to enter.,يمنح,سوف يعطونك الإذن بالدخول.
totally,B1,I totally agree with your decision.,تماما,وأنا أتفق تماما مع قرارك.
industrial,B1,The city has a large industrial zone.,صناعي,يوجد بالمدينة منطقة صناعية كبيرة.
stretch,B1,He did a stretch before starting his workout.,تمرين تمدد,لقد قام بتمارين التمدد قبل بدء التمرين.
volume,B1,Please turn down the volume on the TV.,مقدار,يرجى خفض مستوى الصوت على التلفزيون.
aim,B1,Our aim is to improve efficiency.,هدف,هدفنا هو تحسين الكفاءة.
improvement,B1,There has been a noticeable improvement in her grades.,تحسين,وقد كان هناك تحسن ملحوظ في درجاتها.
opening,B1,They celebrated the opening of the new gallery.,افتتاح,احتفلوا بافتتاح المعرض الجديد.
divide,B1,Please divide the cake into eight equal slices.,تقسيم,يرجى تقسيم الكعكة إلى ثماني شرائح متساوية.
essential,B1,Water is essential for life.,ضروري,الماء ضروري للحياة.
league,B1,Our school team joined the regional league.,الدوري,انضم فريق مدرستنا إلى الدوري الإقليمي.
upper,B1,She placed the book on the upper shelf.,العلوي,وضعت الكتاب على الرف العلوي.
vast,B1,They crossed the vast desert on camels.,واسع,عبروا الصحراء الشاسعة على الجمال.
household,B1,The household chores are shared by everyone.,أُسرَة,الأعمال المنزلية مشتركة بين الجميع.
barely,B1,I can barely hear you with all this noise.,بالكاد,بالكاد أستطيع سماعك مع كل هذا الضجيج.
representative,B1,She is our sales representative.,ممثل,هي مندوبة المبيعات لدينا.
beneath,B1,They found shelter beneath a large tree.,أسفل,وجدوا مأوى تحت شجرة كبيرة.
incident,B1,The police investigated the incident at the mall.,حادثة,وحققت الشرطة في الحادث في المركز التجاري.
limited,B1,Tickets are limited, so book early.,محدود,التذاكر محدودة، لذا قم بالحجز مبكرًا.
proud,B1,She was proud of her achievements.,فخور,وكانت فخورة بإنجازاتها.
flow,B1,The river’s flow increased after the storm.,تدفق,وزاد تدفق النهر بعد العاصفة.
waste,B1,Please do not waste water.,يضيع,من فضلك لا تضيعوا المياه.
merely,B1,He was merely a child when the event occurred.,مُجَرّد,لقد كان مجرد طفل عندما وقع الحدث.
mass,B1,A large mass of fans gathered at the stadium.,كتلة,وتجمع عدد كبير من المشجعين في الملعب.
experiment,B1,They will conduct an experiment in the lab.,تجربة,سوف يقومون بإجراء تجربة في المختبر.
definitely,B1,I will definitely attend your party.,قطعاً,سأحضر حفلتك بالتأكيد
bomb,B1,The museum was evacuated after a bomb threat.,قنبلة,تم إخلاء المتحف بعد تهديد بوجود قنبلة.
massive,B1,They built a massive bridge over the river.,جَسِيم,قاموا ببناء جسر ضخم فوق النهر.
decline,B1,She declined the invitation to the party.,انخفاض,لقد رفضت الدعوة للحفل.
invest,B1,She decided to invest her savings in stocks.,يستثمر,فقررت أن تستثمر مدخراتها في الأسهم.
narrow,B1,The alley was too narrow for a car.,ضيق,كان الزقاق ضيقًا جدًا بحيث لا يتسع لسيارة.
solid,B1,The ice was solid enough to walk on.,صلب,كان الجليد صلبًا بدرجة كافية للمشي عليه.
typically,B1,She typically arrives at eight.,عادة,تصل عادةً في الثامنة.
achievement,B1,Winning the award was a major achievement.,إنجاز,وكان الفوز بالجائزة إنجازا كبيرا.
accuse,B1,They plan to accuse him of theft.,يتهم,يخططون لاتهامه بالسرقة.
reject,B1,She decided to reject the offer.,يرفض,وقررت رفض العرض.
taste,B1,The soup tastes delicious.,ذوق,طعم الحساء لذيذ.
closely,B1,Watch the chef closely as he cooks.,عن كثب,راقب الشيف عن كثب وهو يطبخ.
convince,B1,He tried to convince her to join the team.,يقنع,حاول إقناعها بالانضمام إلى الفريق.
height,B1,He measured the height of the doorway.,ارتفاع,قام بقياس ارتفاع المدخل.
sharp,B1,Be careful—the knife is very sharp.,حاد,كن حذرا - السكين حاد للغاية.
approve,B1,The committee will approve the proposal tomorrow.,يعتمد,وستوافق اللجنة على الاقتراح غدا.
gay,B1,They attended a gay pride parade.,مثلي الجنس,لقد حضروا موكب فخر المثليين.
guilty,B1,She was found guilty by the jury.,مذنب,وقد وجدتها هيئة المحلفين مذنبة.
acquire,B1,He hopes to acquire new skills this year.,يكتسب,ويأمل في اكتساب مهارات جديدة هذا العام.
compete,B1,She loves to compete in tennis tournaments.,تنافس,تحب المنافسة في بطولات التنس.
alternative,B1,Do you have an alternative route?,بديل,هل لديك طريق بديل؟
interaction,B1,The interaction between characters was realistic.,تفاعل,وكان التفاعل بين الشخصيات واقعيا.
signal,B1,The traffic signal turned green.,إشارة,تحولت إشارة المرور إلى اللون الأخضر.
curriculum,B1,The school revised its curriculum to include more science courses.,مقرر,قامت المدرسة بمراجعة مناهجها الدراسية لتشمل المزيد من الدورات العلمية.
assistance,B1,She offered her assistance to the elderly man crossing the street.,مساعدة,عرضت مساعدتها للرجل المسن الذي يعبر الشارع.
knock,B1,Someone will knock on the door at noon.,يطرق,شخص ما سوف يطرق الباب عند الظهر.
wrap,B1,Please wrap the gift carefully.,طَوّق,يرجى تغليف الهدية بعناية.
lab,B1,They conducted the experiment in the school lab.,مختبر,لقد أجروا التجربة في معمل المدرسة.
depression,B1,She sought treatment for her clinical depression.,اكتئاب,طلبت العلاج من اكتئابها السريري.
spiritual,B1,She went on a spiritual retreat in the mountains.,روحي,ذهبت في خلوة روحية في الجبال.
journalist,B1,The journalist wrote an exposé on corruption.,صحافي,كتب الصحفي تقريرا عن الفساد.
prayer,B1,She said a prayer before the exam.,الصلاة,قالت دعاء قبل الامتحان.
suspect,B1,I suspect he is telling the truth.,يشتبه,أظن أنه يقول الحقيقة.
scholar,B2,She is a well‑known medieval scholar.,عالم,وهي عالمة معروفة في العصور الوسطى.
warning,B2,They received a warning about the incoming storm.,تحذير,لقد تلقوا تحذيرًا بشأن العاصفة القادمة.
climate,B2,The climate is mild in this region.,مناخ,المناخ معتدل في هذه المنطقة.
observation,B2,His observation helped solve the mystery.,ملاحظة,ساعدت ملاحظته في حل اللغز.
permit,B2,The city issued a permit for street performances.,يسمح,أصدرت المدينة تصريحًا لعروض الشوارع.
definition,B2,He looked up the definition in the dictionary.,تعريف,وبحث عن التعريف في القاموس.
emotion,B2,He could barely control his emotion.,العاطفة,كان بالكاد يستطيع السيطرة على عواطفه.
dramatic,B2,The rescue was a dramatic event.,دراماتيكي,كانت عملية الإنقاذ حدثًا دراماتيكيًا.
universe,B2,They studied the universe.,الكون,لقد درسوا الكون.
gap,B2,There is a gap between the two buildings.,فجوة,هناك فجوة بين المبنيين.
drag,B2,The children love to drag the blanket around the yard.,يجر,يحب الأطفال سحب البطانية حول الفناء.
airline,B2,She booked a flight with a major airline.,شركة طيران,لقد حجزت رحلة مع شركة طيران كبرى.
agenda,B2,Let's discuss the meeting agenda.,جدول الأعمال,دعونا نناقش جدول أعمال الاجتماع.
recover,B2,He took weeks to recover from the surgery.,يتعافى,استغرق أسابيع للتعافي من الجراحة.
selection,B2,The selection of candidates was difficult.,اختيار,وكان اختيار المرشحين صعبا.
primarily,B2,They discussed the topic of primarily.,في المقام الأول,ناقشوا الموضوع في المقام الأول.
unable,B2,He was unable to attend the meeting.,غير قادر,ولم يتمكن من حضور الاجتماع.
expense,B2,They tracked every expense during the trip.,حساب,لقد تتبعوا كل النفقات خلال الرحلة.
arrest,B2,The police will arrest the suspect.,اعتقال,ستقوم الشرطة بإلقاء القبض على المشتبه به.
brief,B2,She gave a brief summary of the meeting.,مختصر,وقدمت ملخصا موجزا للاجتماع.
steel,B2,The bridge’s supports are made of steel.,فُولاَذ,دعامات الجسر مصنوعة من الفولاذ.
regarding,B2,We have no information regarding that issue.,متعلق,ليس لدينا معلومات بخصوص هذه المسألة.
visual,B2,The presentation included many visual aids.,مرئي,وتضمن العرض العديد من الوسائل المرئية.
silent,B2,He remained silent during the discussion.,صامت,وظل صامتا أثناء المناقشة.
suppose,B2,I suppose we could try a different route.,يفترض,أفترض أنه يمكننا تجربة طريق مختلف.
comparison,B2,In comparison to last year, attendance has doubled.,مقارنة,ومقارنة بالعام الماضي، تضاعف الحضور.
settlement,B2,They reached a settlement in the lawsuit.,تسوية,توصلوا إلى تسوية في الدعوى.
layer,B2,The cake has three layers of sponge and cream.,طبقة,تحتوي الكيكة على ثلاث طبقات من الإسفنج والكريمة.
inform,B2,Please inform me of any changes immediately.,يخبر,يرجى إبلاغي بأي تغييرات على الفور.
immediate,B2,She took immediate action to solve the problem.,مباشر,واتخذت إجراءات فورية لحل المشكلة.
abandon,B2,They decided to abandon the project.,يتخلى عن,فقرروا التخلي عن المشروع.
transform,B2,The caterpillar will transform into a butterfly.,تحويل,سوف تتحول اليرقة إلى فراشة.
tension,B2,There was tension in the room.,توتر,كان هناك توتر في الغرفة.
leading,B2,He saw a leading in the morning.,الرائدة,رأى الرائدة في الصباح.
bother,B2,I don't want to bother you with my problems.,يزعج,لا أريد أن أزعجك بمشاكلي.
alcohol,B2,Alcohol consumption can be harmful.,الكحول,استهلاك الكحول يمكن أن يكون ضارا.
enable,B2,The new software will enable faster communication.,يُمكَِن,سيعمل البرنامج الجديد على تمكين الاتصال بشكل أسرع.
sand,B2,The children built a castle in the sand.,رمل,قام الأطفال ببناء قلعة في الرمال.
preserve,B2,They aim to preserve endangered species.,يحفظ,إنهم يهدفون إلى الحفاظ على الأنواع المهددة بالانقراض.
formal,B2,He wore a formal suit to the wedding.,رَسمِيّ,ارتدى بدلة رسمية لحضور حفل الزفاف.
existence,B2,The discovery challenged our understanding of existence.,وجود,لقد تحدى هذا الاكتشاف فهمنا للوجود.
arrange,B2,Let's arrange a meeting for next week.,يرتب,دعونا نرتب اجتماعا للأسبوع المقبل.
atmosphere,B2,The restaurant has a cozy atmosphere that I love.,أَجواء,يتمتع المطعم بجو مريح أحبه.
joint,B2,They work on a joint project with another team.,مشترك,إنهم يعملون في مشروع مشترك مع فريق آخر.
cycle,B2,They cycle to work every morning to stay fit.,دورة,إنهم يركبون الدراجة للعمل كل صباح للحفاظ على لياقتهم.
deserve,B2,You deserve a reward for your hard work.,يستحق,أنت تستحق مكافأة لعملك الشاق.
discovery,B2,The scientist announced his latest discovery.,اكتشاف,أعلن العالم عن اكتشافه الأخير.
stream,B2,They sat by the stream and listened to the water.,تدفق,جلسوا بجانب النهر واستمعوا إلى الماء.
pot,B2,She watered the plant in the ceramic pot.,وعاء,قامت بسقي النبات في وعاء السيراميك.
tale,B2,He told a tale about dragons.,حكاية,لقد روى قصة عن التنانين.
resolve,B2,They must resolve the issue before it escalates.,حل,ويجب عليهم حل المشكلة قبل أن تتفاقم.
racial,B2,The organization fights against racial discrimination.,عنصري,وتحارب المنظمة التمييز العنصري.
symptom,B2,Fever is a symptom of the flu.,الأعراض,الحمى هي أحد أعراض الأنفلونزا.
philosophy,B2,He studied philosophy at university.,فلسفة,درس الفلسفة في الجامعة.
foundation,B2,The house’s foundation was very strong.,مؤسسة,وكان أساس المنزل قوياً جداً.
negotiation,B2,The negotiation lasted several hours.,التفاوض,واستمرت المفاوضات عدة ساعات.
occasion,B2,They celebrated the occasion with a party.,مناسبة,واحتفلوا بهذه المناسبة بحفلة.
ordinary,B2,It was just an ordinary Monday.,عادي,لقد كان مجرد يوم إثنين عادي.
reduction,B2,They announced a reduction in prices.,تخفيض,وأعلنوا عن تخفيض الأسعار.
rarely,B2,She rarely eats dessert.,نادرًا,نادرا ما تأكل الحلوى.
suicide,B2,The novel addressed the topic of suicide sensitively.,انتحار,تناولت الرواية موضوع الانتحار بحساسية.
numerous,B2,There were numerous errors in the report.,عديد,كانت هناك أخطاء عديدة في التقرير.
iron,B2,He used an iron to remove the wrinkles from his shirt.,حديد,استخدم مكواة لإزالة التجاعيد من قميصه.
practical,B2,She offered practical advice on budgeting.,عملي,وقدمت نصائح عملية بشأن الميزانية.
moreover,B2,He is smart; moreover, he is very kind.,علاوة على ذلك,إنه ذكي. علاوة على ذلك، فهو لطيف جدًا.
passion,B2,Her passion for music drove her to practice daily.,عاطفة,دفعها شغفها بالموسيقى إلى ممارسة الموسيقى يومياً.
gene,B2,Scientists discovered a new gene linked to the disease.,الجين,اكتشف العلماء جينًا جديدًا مرتبطًا بالمرض.
priest,B2,The priest delivered a heartfelt sermon.,كاهن,ألقى الكاهن عظة صادقة.
amazing,B2,That was an amazing performance.,مدهش,لقد كان ذلك أداءً مذهلاً.
